Id,Keyword,Parent KW Id,Indented Keywords,Full Path,Level,Suggested
10070,legatee,2,    legatee,Parties > legatee,1,yes
10006,lineal descendants,2,    lineal descendants,Parties > lineal descendants,1,yes
257,litigant,2,    litigant,Parties > litigant,1,
10247,magistrate,2,    magistrate,Parties > magistrate,1,yes
10075,man,2,    man,Parties > man,1,yes
10168,master,2,    master,Parties > master,1,yes
153,mentally impaired,2,    mentally impaired,Parties > mentally impaired,1,
10011,midwife,2,    midwife,Parties > midwife,1,yes
180,minor,2,    minor,Parties > minor,1,
272,mother,2,    mother,Parties > mother,1,
10165,municipality,2,    municipality,Parties > municipality,1,yes
164,mute,2,    mute,Parties > mute,1,
184,partner,2,    partner,Parties > partner,1,
10030,patron,2,    patron,Parties > patron,1,yes
10219,patroness,2,    patroness,Parties > patroness,1,yes
166,peregrine,2,    peregrine,Parties > peregrine,1,
10058,posthumous heir,2,    posthumous heir,Parties > posthumous heir,1,yes
10046,praetor,2,    praetor,Parties > praetor,1,yes
232,presumed heir,2,    presumed heir,Parties > presumed heir,1,
331,presumed relatives,2,    presumed relatives,Parties > presumed relatives,1,
230,presumed slave,2,    presumed slave,Parties > presumed slave,1,
228,presumed son,2,    presumed son,Parties > presumed son,1,
133,priest,2,    priest,Parties > priest,1,
10083,prisoner of war,2,    prisoner of war,Parties > prisoner of war,1,yes
336,proper heirs,2,    proper heirs,Parties > proper heirs,1,
10202,provincial governor,2,    provincial governor,Parties > provincial governor,1,yes
10037,Quirites,2,    Quirites,Parties > Quirites,1,yes
90,robber,2,    robber,Parties > robber,1,
10035,Roman citizen,2,    Roman citizen,Parties > Roman citizen,1,yes
148,scale holder,2,    scale holder,Parties > scale holder,1,
10113,scribe,2,    scribe,Parties > scribe,1,yes
269,serf,2,    serf,Parties > serf,1,
10087,sick person,2,    sick person,Parties > sick person,1,yes
275,sister,2,    sister,Parties > sister,1,
202,slave,2,    slave,Parties > slave,1,
159,soldier,2,    soldier,Parties > soldier,1,
163,son,2,    son,Parties > son,1,
10028,spendthrift,2,    spendthrift,Parties > spendthrift,1,yes
10171,substitute heir,2,    substitute heir,Parties > substitute heir,1,yes
10043,sui iuris,2,    sui iuris,Parties > sui iuris,1,yes
10225,suus heres,2,    suus heres,Parties > suus heres,1,yes
212,tax collectors,2,    tax collectors,Parties > tax collectors,1,
10155,Testamentary guardian,2,    Testamentary guardian,Parties > Testamentary guardian,1,yes
149,testator,2,    testator,Parties > testator,1,
169,tutor,2,    tutor,Parties > tutor,1,
10054,unmarried person,2,    unmarried person,Parties > unmarried person,1,yes
280,veteran,2,    veteran,Parties > veteran,1,
155,ward,2,    ward,Parties > ward,1,
10099,wife,2,    wife,Parties > wife,1,yes
197,wife's heirs,2,    wife's heirs,Parties > wife's heirs,1,
99,witnesses,2,    witnesses,Parties > witnesses,1,
151,woman,2,    woman,Parties > woman,1,
238,actual possession,3,    actual possession,Legal matter > actual possession,1,
10229,Ademption,3,    Ademption,Legal matter > Ademption,1,yes
10137,Administrative jurisdiction,3,    Administrative jurisdiction,Legal matter > Administrative jurisdiction,1,yes
344,adoption,3,    adoption,Legal matter > adoption,1,
170,age of legal capacity,3,    age of legal capacity,Legal matter > age of legal capacity,1,
56,agent authority,3,    agent authority,Legal matter > agent authority,1,
323,Agnatic Consanguinity,3,    Agnatic Consanguinity,Legal matter > Agnatic Consanguinity,1,
96,alimentary rights,3,    alimentary rights,Legal matter > alimentary rights,1,
10251,Annexation,3,    Annexation,Legal matter > Annexation,1,yes
347,archival registration,3,    archival registration,Legal matter > archival registration,1,
10004,Asset-based distribution,3,    Asset-based distribution,Legal matter > Asset-based distribution,1,yes
10132,Auction,3,    Auction,Legal matter > Auction,1,yes
10233,authenticity,3,    authenticity,Legal matter > authenticity,1,yes
10128,bequeathal of kingdom,3,    bequeathal of kingdom,Legal matter > bequeathal of kingdom,1,yes
10009,Betrothal,3,    Betrothal,Legal matter > Betrothal,1,yes
10092,bonos mores,3,    bonos mores,Legal matter > bonos mores,1,yes
10117,Boundary description waiver,3,    Boundary description waiver,Legal matter > Boundary description waiver,1,yes
10187,Burden of legacy,3,    Burden of legacy,Legal matter > Burden of legacy,1,yes
244,burial rites,3,    burial rites,Legal matter > burial rites,1,
10170,capacity to act,3,    capacity to act,Legal matter > capacity to act,1,yes
10224,Change of heir status,3,    Change of heir status,Legal matter > Change of heir status,1,yes
10116,Collation,3,    Collation,Legal matter > Collation,1,yes
346,collective acquisition,3,    collective acquisition,Legal matter > collective acquisition,1,
348,collective freedom,3,    collective freedom,Legal matter > collective freedom,1,
10005,commorientes,3,    commorientes,Legal matter > commorientes,1,yes
176,conditional gift,3,    conditional gift,Legal matter > conditional gift,1,
10222,Conditional institution,3,    Conditional institution,Legal matter > Conditional institution,1,yes
10192,Conditional legacy,3,    Conditional legacy,Legal matter > Conditional legacy,1,yes
326,Creditor Priority,3,    Creditor Priority,Legal matter > Creditor Priority,1,
245,cretio,3,    cretio,Legal matter > cretio,1,
279,cumulative legacy,3,    cumulative legacy,Legal matter > cumulative legacy,1,
143,damage of deposit,3,    damage of deposit,Legal matter > damage of deposit,1,
229,deathbed statement,3,    deathbed statement,Legal matter > deathbed statement,1,
312,degrees of kinship,3,    degrees of kinship,Legal matter > degrees of kinship,1,
139,diminished value,3,    diminished value,Legal matter > diminished value,1,
235,disclaimer of inheritance,3,    disclaimer of inheritance,Legal matter > disclaimer of inheritance,1,
281,disinheritance,3,    disinheritance,Legal matter > disinheritance,1,
10059,disinheritance by name,3,    disinheritance by name,Legal matter > disinheritance by name,1,yes
227,disputed inheritance,3,    disputed inheritance,Legal matter > disputed inheritance,1,
262,disputed lineage,3,    disputed lineage,Legal matter > disputed lineage,1,
10101,division by unciae,3,    division by unciae,Legal matter > division by unciae,1,yes
267,division of estate before death,3,    division of estate before death,Legal matter > division of estate before death,1,
10250,division with fiscus,3,    division with fiscus,Legal matter > division with fiscus,1,yes
351,divorce,3,    divorce,Legal matter > divorce,1,
10154,Duress,3,    Duress,Legal matter > Duress,1,yes
301,election of rights,3,    election of rights,Legal matter > election of rights,1,
337,eligibility to Inherit,3,    eligibility to Inherit,Legal matter > eligibility to Inherit,1,
107,emancipation,3,    emancipation,Legal matter > emancipation,1,
234,enhancement,3,    enhancement,Legal matter > enhancement,1,
10002,equal division,3,    equal division,Legal matter > equal division,1,yes
177,estate enhancement,3,    estate enhancement,Legal matter > estate enhancement,1,
240,fictive sale,3,    fictive sale,Legal matter > fictive sale,1,
278,fideicommissum,3,    fideicommissum,Legal matter > fideicommissum,1,
118,fifth payment,3,    fifth payment,Legal matter > fifth payment,1,
10158,Forfeiture of inheritance,3,    Forfeiture of inheritance,Legal matter > Forfeiture of inheritance,1,yes
52,fraud,3,    fraud,Legal matter > fraud,1,
78,general sale,3,    general sale,Legal matter > general sale,1,
239,generational rights,3,    generational rights,Legal matter > generational rights,1,
328,Gift vs. Inheritance,3,    Gift vs. Inheritance,Legal matter > Gift vs. Inheritance,1,
79,grant of citizenship,3,    grant of citizenship,Legal matter > grant of citizenship,1,
288,grave robbery,3,    grave robbery,Legal matter > grave robbery,1,
221,hereditates fideicommissariae,3,    hereditates fideicommissariae,Legal matter > hereditates fideicommissariae,1,
10019,Hierarchy of assets,3,    Hierarchy of assets,Legal matter > Hierarchy of assets,1,yes
10248,honorarium,3,    honorarium,Legal matter > honorarium,1,yes
61,hypothec,3,    hypothec,Legal matter > hypothec,1,
10237,imminent danger,3,    imminent danger,Legal matter > imminent danger,1,yes
10172,imperfect cretio,3,    imperfect cretio,Legal matter > imperfect cretio,1,yes
10090,Impossible condition,3,    Impossible condition,Legal matter > Impossible condition,1,yes
51,infamy,3,    infamy,Legal matter > infamy,1,
194,inheritance conflict,3,    inheritance conflict,Legal matter > inheritance conflict,1,
10135,Inheritance of office,3,    Inheritance of office,Legal matter > Inheritance of office,1,yes
173,Inheritance priority,3,    Inheritance priority,Legal matter > Inheritance priority,1,
86,inherited claims,3,    inherited claims,Legal matter > inherited claims,1,
10218,inoperative possession,3,    inoperative possession,Legal matter > inoperative possession,1,yes
342,inoperative will,3,    inoperative will,Legal matter > inoperative will,1,
10220,institutio ex re certa,3,    institutio ex re certa,Legal matter > institutio ex re certa,1,yes
10045,institutio heredis,3,    institutio heredis,Legal matter > institutio heredis,1,yes
69,intestacy,3,    intestacy,Legal matter > intestacy,1,
345,joint legacy,3,    joint legacy,Legal matter > joint legacy,1,
10067,knowledge,3,    knowledge,Legal matter > knowledge,1,yes
10152,Land allotment,3,    Land allotment,Legal matter > Land allotment,1,yes
10161,Legal definition of birth,3,    Legal definition of birth,Legal matter > Legal definition of birth,1,yes
154,legal disability,3,    legal disability,Legal matter > legal disability,1,
19,legal eligibility,3,    legal eligibility,Legal matter > legal eligibility,1,
10022,Legal fiction,3,    Legal fiction,Legal matter > Legal fiction,1,yes
10159,Legal interpretation,3,    Legal interpretation,Legal matter > Legal interpretation,1,yes
248,legitimate children,3,    legitimate children,Legal matter > legitimate children,1,
103,liened property,3,    liened property,Legal matter > liened property,1,
27,lost property,3,    lost property,Legal matter > lost property,1,
10079,lucid interval,3,    lucid interval,Legal matter > lucid interval,1,yes
145,mancipatory will,3,    mancipatory will,Legal matter > mancipatory will,1,
10015,manumission,3,    manumission,Legal matter > manumission,1,yes
277,manumission by testament,3,    manumission by testament,Legal matter > manumission by testament,1,
187,marriage conditions,3,    marriage conditions,Legal matter > marriage conditions,1,
10003,marriage expenses,3,    marriage expenses,Legal matter > marriage expenses,1,yes
247,marriage of soldiers,3,    marriage of soldiers,Legal matter > marriage of soldiers,1,
65,material law,3,    material law,Legal matter > material law,1,
10228,media tempora non nocere,3,    media tempora non nocere,Legal matter > media tempora non nocere,1,yes
55,minor’s protection,3,    minor’s protection,Legal matter > minor’s protection,1,
192,modes of acquisition,3,    modes of acquisition,Legal matter > modes of acquisition,1,
10100,mortis causa acquisition,3,    mortis causa acquisition,Legal matter > mortis causa acquisition,1,yes
335,nearest agnate,3,    nearest agnate,Legal matter > nearest agnate,1,
10214,No succession of degrees,3,    No succession of degrees,Legal matter > No succession of degrees,1,yes
10098,non-verbal command,3,    non-verbal command,Legal matter > non-verbal command,1,yes
71,nullification,3,    nullification,Legal matter > nullification,1,
74,nullity,3,    nullity,Legal matter > nullity,1,
134,one-fifth payment,3,    one-fifth payment,Legal matter > one-fifth payment,1,
226,order of birth,3,    order of birth,Legal matter > order of birth,1,
196,order of death,3,    order of death,Legal matter > order of death,1,
205,order of succession,3,    order of succession,Legal matter > order of succession,1,
88,partial confession,3,    partial confession,Legal matter > partial confession,1,
320,partial manumission,3,    partial manumission,Legal matter > partial manumission,1,
10189,partition of inheritance,3,    partition of inheritance,Legal matter > partition of inheritance,1,yes
10146,Partnership liability,3,    Partnership liability,Legal matter > Partnership liability,1,yes
10163,Paternal declaration of status,3,    Paternal declaration of status,Legal matter > Paternal declaration of status,1,yes
311,paternal lineage,3,    paternal lineage,Legal matter > paternal lineage,1,
10213,per capita,3,    per capita,Legal matter > per capita,1,yes
10212,per stirpes,3,    per stirpes,Legal matter > per stirpes,1,yes
10145,Personal liability,3,    Personal liability,Legal matter > Personal liability,1,yes
10016,pious causes,3,    pious causes,Legal matter > pious causes,1,yes
10129,political alliance,3,    political alliance,Legal matter > political alliance,1,yes
10091,Possible condition,3,    Possible condition,Legal matter > Possible condition,1,yes
10130,posthumous honor,3,    posthumous honor,Legal matter > posthumous honor,1,yes
10226,potestative condition,3,    potestative condition,Legal matter > potestative condition,1,yes
350,power of sale,3,    power of sale,Legal matter > power of sale,1,
10151,Presumption of status,3,    Presumption of status,Legal matter > Presumption of status,1,yes
10093,Pretermission,3,    Pretermission,Legal matter > Pretermission,1,yes
10088,prevailing sex,3,    prevailing sex,Legal matter > prevailing sex,1,yes
241,primogeniture,3,    primogeniture,Legal matter > primogeniture,1,
10160,Prohibited marriage,3,    Prohibited marriage,Legal matter > Prohibited marriage,1,yes
10104,Prohibition of alienation,3,    Prohibition of alienation,Legal matter > Prohibition of alienation,1,yes
10238,property of another,3,    property of another,Legal matter > property of another,1,yes
340,property transfer,3,    property transfer,Legal matter > property transfer,1,
237,prospective estate,3,    prospective estate,Legal matter > prospective estate,1,
57,proxenia,3,    proxenia,Legal matter > proxenia,1,
10076,puberty,3,    puberty,Legal matter > puberty,1,yes
285,ransom,3,    ransom,Legal matter > ransom,1,
188,recoverable gifts,3,    recoverable gifts,Legal matter > recoverable gifts,1,
10014,refusal of appointment,3,    refusal of appointment,Legal matter > refusal of appointment,1,yes
338,refusal of gift,3,    refusal of gift,Legal matter > refusal of gift,1,
343,refusal of inheritence,3,    refusal of inheritence,Legal matter > refusal of inheritence,1,
299,relative priority,3,    relative priority,Legal matter > relative priority,1,
313,Relative Priority,3,    Relative Priority,Legal matter > Relative Priority,1,
289,renunciation of inheritance,3,    renunciation of inheritance,Legal matter > renunciation of inheritance,1,
10109,Reservation of lifetime rights,3,    Reservation of lifetime rights,Legal matter > Reservation of lifetime rights,1,yes
29,restitution,3,    restitution,Legal matter > restitution,1,
10153,Reversion of property,3,    Reversion of property,Legal matter > Reversion of property,1,yes
77,revocation of citizenship,3,    revocation of citizenship,Legal matter > revocation of citizenship,1,
10239,revocation of gift,3,    revocation of gift,Legal matter > revocation of gift,1,yes
10063,Revocation of refusal,3,    Revocation of refusal,Legal matter > Revocation of refusal,1,yes
341,revocation of will,3,    revocation of will,Legal matter > revocation of will,1,
10115,Right of habitation,3,    Right of habitation,Legal matter > Right of habitation,1,yes
263,Right of habitation for the widow,3,    Right of habitation for the widow,Legal matter > Right of habitation for the widow,1,
95,right of representation,3,    right of representation,Legal matter > right of representation,1,
10094,ruptio testamenti,3,    ruptio testamenti,Legal matter > ruptio testamenti,1,yes
355,sacrilege,3,    sacrilege,Legal matter > sacrilege,1,
10208,secret trust,3,    secret trust,Legal matter > secret trust,1,yes
325,Secured Debt,3,    Secured Debt,Legal matter > Secured Debt,1,
10191,security,3,    security,Legal matter > security,1,yes
207,seizure,3,    seizure,Legal matter > seizure,1,
10120,settlement,3,    settlement,Legal matter > settlement,1,yes
303,severability of legacy,3,    severability of legacy,Legal matter > severability of legacy,1,
314,shared inheritance,3,    shared inheritance,Legal matter > shared inheritance,1,
68,single witness,3,    single witness,Legal matter > single witness,1,
339,slaves status,3,    slaves status,Legal matter > slaves status,1,
10040,soldier's will,3,    soldier's will,Legal matter > soldier's will,1,yes
284,specification of assets,3,    specification of assets,Legal matter > specification of assets,1,
10138,Stipulation against statutory law,3,    Stipulation against statutory law,Legal matter > Stipulation against statutory law,1,yes
10221,Subauditur,3,    Subauditur,Legal matter > Subauditur,1,yes
10068,substitutio pupillaris,3,    substitutio pupillaris,Legal matter > substitutio pupillaris,1,yes
265,substitutio vulgaris,3,    substitutio vulgaris,Legal matter > substitutio vulgaris,1,
231,succession disputes,3,    succession disputes,Legal matter > succession disputes,1,
317,successive inheritance,3,    successive inheritance,Legal matter > successive inheritance,1,
349,successive legacies,3,    successive legacies,Legal matter > successive legacies,1,
10143,sufficiency of assets,3,    sufficiency of assets,Legal matter > sufficiency of assets,1,yes
10243,supplement of legitimate portion,3,    supplement of legitimate portion,Legal matter > supplement of legitimate portion,1,yes
308,supplements to a will,3,    supplements to a will,Legal matter > supplements to a will,1,
10086,Surplusage,3,    Surplusage,Legal matter > Surplusage,1,yes
92,suspected perjurer,3,    suspected perjurer,Legal matter > suspected perjurer,1,
91,Tax collectors,3,    Tax collectors,Legal matter > Tax collectors,1,
10140,temporary sale,3,    temporary sale,Legal matter > temporary sale,1,yes
10025,Testamentary freedom,3,    Testamentary freedom,Legal matter > Testamentary freedom,1,yes
293,testamentary intent,3,    testamentary intent,Legal matter > testamentary intent,1,
302,Testamentary Interpretation,3,    Testamentary Interpretation,Legal matter > Testamentary Interpretation,1,
327,Testamentary Language,3,    Testamentary Language,Legal matter > Testamentary Language,1,
217,testamenti factio activa,3,    testamenti factio activa,Legal matter > testamenti factio activa,1,
211,testamenti factio passiva,3,    testamenti factio passiva,Legal matter > testamenti factio passiva,1,
10066,time limit,3,    time limit,Legal matter > time limit,1,yes
321,Timing of Intestacy,3,    Timing of Intestacy,Legal matter > Timing of Intestacy,1,
10206,Transfer of actions,3,    Transfer of actions,Legal matter > Transfer of actions,1,yes
334,transfer of inherited property,3,    transfer of inherited property,Legal matter > transfer of inherited property,1,
135,transformation,3,    transformation,Legal matter > transformation,1,
10000,Transmission of inheritance,3,    Transmission of inheritance,Legal matter > Transmission of inheritance,1,yes
261,tribal division,3,    tribal division,Legal matter > tribal division,1,
10052,Uncertainty of status,3,    Uncertainty of status,Legal matter > Uncertainty of status,1,yes
10193,Unconditional legacy,3,    Unconditional legacy,Legal matter > Unconditional legacy,1,yes
10200,unconfirmed codicil,3,    unconfirmed codicil,Legal matter > unconfirmed codicil,1,yes
10147,Unenforceable gift,3,    Unenforceable gift,Legal matter > Unenforceable gift,1,yes
10139,Unworthy heir,3,    Unworthy heir,Legal matter > Unworthy heir,1,yes
256,unwritten marriage,3,    unwritten marriage,Legal matter > unwritten marriage,1,
266,usufructus,3,    usufructus,Legal matter > usufructus,1,
193,verbal instruction,3,    verbal instruction,Legal matter > verbal instruction,1,
97,wage dispute,3,    wage dispute,Legal matter > wage dispute,1,
10125,waiver of claim,3,    waiver of claim,Legal matter > waiver of claim,1,yes
10121,water rights,3,    water rights,Legal matter > water rights,1,yes
179,widow's inheritance,3,    widow's inheritance,Legal matter > widow's inheritance,1,
324,Women's Status,3,    Women's Status,Legal matter > Women's Status,1,
83,bequeathal clause,4,    bequeathal clause,Formula > bequeathal clause,1,
23,cursing,4,    cursing,Formula > cursing,1,
48,double document,4,    double document,Formula > double document,1,
307,from today and after death,4,    from today and after death,Formula > from today and after death,1,
10245,funerary formula,4,    funerary formula,Formula > funerary formula,1,yes
243,meriteia,4,    meriteia,Formula > meriteia,1,
18,oath clauses,4,    oath clauses,Formula > oath clauses,1,
63,penalty clause,4,    penalty clause,Formula > penalty clause,1,
10081,Praetorian formula,4,    Praetorian formula,Formula > Praetorian formula,1,yes
10198,precatory words,4,    precatory words,Formula > precatory words,1,yes
10119,stipulatio,4,    stipulatio,Formula > stipulatio,1,yes
10207,stipulatio partis et pro parte,4,    stipulatio partis et pro parte,Formula > stipulatio partis et pro parte,1,yes
144,testament formula,4,    testament formula,Formula > testament formula,1,
260,testamentum per aes et libram,4,    testamentum per aes et libram,Formula > testamentum per aes et libram,1,
130,vow,4,    vow,Formula > vow,1,
10031,actio familiae erciscundae,5,    actio familiae erciscundae,Legal terms > actio familiae erciscundae,1,yes
10096,aditio hereditatis,5,    aditio hereditatis,Legal terms > aditio hereditatis,1,yes
114,adstipulator,5,    adstipulator,Legal terms > adstipulator,1,
309,agnatic succession,5,    agnatic succession,Legal terms > agnatic succession,1,
10024,auctoritas,5,    auctoritas,Legal terms > auctoritas,1,yes
220,bona vacantia,5,    bona vacantia,Legal terms > bona vacantia,1,
10080,bonis interdictio,5,    bonis interdictio,Legal terms > bonis interdictio,1,yes
10057,bonitarian ownership,5,    bonitarian ownership,Legal terms > bonitarian ownership,1,yes
110,bonorum possessio,5,    bonorum possessio,Legal terms > bonorum possessio,1,
10060,bonorum possessio contra tabulas,5,    bonorum possessio contra tabulas,Legal terms > bonorum possessio contra tabulas,1,yes
10173,capitis deminutio,5,    capitis deminutio,Legal terms > capitis deminutio,1,yes
333,cession,5,    cession,Legal terms > cession,1,
94,claim of theft,5,    claim of theft,Legal terms > claim of theft,1,
276,codicil,5,    codicil,Legal terms > codicil,1,
10044,coemptio,5,    coemptio,Legal terms > coemptio,1,yes
252,cognati,5,    cognati,Legal terms > cognati,1,
10196,condictio indebiti,5,    condictio indebiti,Legal terms > condictio indebiti,1,yes
315,consanguinity,5,    consanguinity,Legal terms > consanguinity,1,
10065,cretio continua,5,    cretio continua,Legal terms > cretio continua,1,yes
10064,cretio vulgaris,5,    cretio vulgaris,Legal terms > cretio vulgaris,1,yes
10029,cura,5,    cura,Legal terms > cura,1,yes
191,deathbed gift,5,    deathbed gift,Legal terms > deathbed gift,1,
10184,demonstratio,5,    demonstratio,Legal terms > demonstratio,1,yes
10108,dolus malus,5,    dolus malus,Legal terms > dolus malus,1,yes
10124,donatio mortis causa,5,    donatio mortis causa,Legal terms > donatio mortis causa,1,yes
233,double portion,5,    double portion,Legal terms > double portion,1,
112,emptio bonorum,5,    emptio bonorum,Legal terms > emptio bonorum,1,
120,extortion,5,    extortion,Legal terms > extortion,1,
10179,extra commercium,5,    extra commercium,Legal terms > extra commercium,1,yes
294,extra portionem,5,    extra portionem,Legal terms > extra portionem,1,
10186,falsa causa,5,    falsa causa,Legal terms > falsa causa,1,yes
10185,falsa demonstratio,5,    falsa demonstratio,Legal terms > falsa demonstratio,1,yes
199,female succession,5,    female succession,Legal terms > female succession,1,
10126,future property,5,    future property,Legal terms > future property,1,yes
305,gift after death,5,    gift after death,Legal terms > gift after death,1,
251,heredes legitimi,5,    heredes legitimi,Legal terms > heredes legitimi,1,
10217,heredis loco,5,    heredis loco,Legal terms > heredis loco,1,yes
10095,Hereditas damnosa,5,    Hereditas damnosa,Legal terms > Hereditas damnosa,1,yes
10167,heres necessarius,5,    heres necessarius,Legal terms > heres necessarius,1,yes
250,illegitimate child,5,    illegitimate child,Legal terms > illegitimate child,1,
190,immovable property,5,    immovable property,Legal terms > immovable property,1,
113,in iure cessio,5,    in iure cessio,Legal terms > in iure cessio,1,
218,incertae personae,5,    incertae personae,Legal terms > incertae personae,1,
356,intent,5,    intent,Legal terms > intent,1,
21,intentional transgression,5,    intentional transgression,Legal terms > intentional transgression,1,
290,inter vivos transfer,5,    inter vivos transfer,Legal terms > inter vivos transfer,1,
10231,interdictum de tabulis exhibendis,5,    interdictum de tabulis exhibendis,Legal terms > interdictum de tabulis exhibendis,1,yes
310,intestate succession,5,    intestate succession,Legal terms > intestate succession,1,
10071,ius accrescendi,5,    ius accrescendi,Legal terms > ius accrescendi,1,yes
